GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,Estimate; Less than high school graduate:
HD02_VD02,Margin of Error; Less than high school graduate:
HD01_VD03,Estimate; Less than high school graduate: - In labor force:
HD02_VD03,Margin of Error; Less than high school graduate: - In labor force:
HD01_VD04,Estimate; Less than high school graduate: - In labor force: - Speak only English
HD02_VD04,Margin of Error; Less than high school graduate: - In labor force: - Speak only English
HD01_VD05,Estimate; Less than high school graduate: - In labor force: - Speak Spanish
HD02_VD05,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish
HD01_VD06,Estimate; Less than high school graduate: - In labor force: - Speak other Indo-European languages
HD02_VD06,Margin of Error; Less than high school graduate: - In labor force: - Speak other Indo-European languages
HD01_VD07,Estimate; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages
HD02_VD07,Margin of Error; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages
HD01_VD08,Estimate; Less than high school graduate: - In labor force: - Speak other languages
HD02_VD08,Margin of Error; Less than high school graduate: - In labor force: - Speak other languages
HD01_VD09,Estimate; Less than high school graduate: - Not in labor force:
HD02_VD09,Margin of Error; Less than high school graduate: - Not in labor force:
HD01_VD10,Estimate; Less than high school graduate: - Not in labor force: - Speak only English
HD02_VD10,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English
HD01_VD11,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish
HD02_VD11,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish
HD01_VD12,Estimate; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages
HD02_VD12,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages
HD01_VD13,Estimate; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages
HD02_VD13,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages
HD01_VD14,Estimate; Less than high school graduate: - Not in labor force: - Speak other languages
HD02_VD14,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other languages
HD01_VD15,Estimate; High school graduate (includes equivalency):
HD02_VD15,Margin of Error; High school graduate (includes equivalency):
HD01_VD16,Estimate; High school graduate (includes equivalency): - In labor force:
HD02_VD16,Margin of Error; High school graduate (includes equivalency): - In labor force:
HD01_VD17,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English
HD02_VD17,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English
HD01_VD18,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish
HD02_VD18,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish
HD01_VD19,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages
HD02_VD19,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages
HD01_VD20,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages
HD02_VD20,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages
HD01_VD21,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other languages
HD02_VD21,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other languages
HD01_VD22,Estimate; High school graduate (includes equivalency): - Not in labor force:
HD02_VD22,Margin of Error; High school graduate (includes equivalency): - Not in labor force:
HD01_VD23,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English
HD02_VD23,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English
HD01_VD24,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish
HD02_VD24,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish
HD01_VD25,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages
HD02_VD25,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages
HD01_VD26,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages
HD02_VD26,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages
HD01_VD27,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other languages
HD02_VD27,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other languages
HD01_VD28,Estimate; Some college or associate's degree:
HD02_VD28,Margin of Error; Some college or associate's degree:
HD01_VD29,Estimate; Some college or associate's degree: - In labor force:
HD02_VD29,Margin of Error; Some college or associate's degree: - In labor force:
HD01_VD30,Estimate; Some college or associate's degree: - In labor force: - Speak only English
HD02_VD30,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English
HD01_VD31,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish
HD02_VD31,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish
HD01_VD32,Estimate; Some college or associate's degree: - In labor force: - Speak other Indo-European languages
HD02_VD32,Margin of Error; Some college or associate's degree: - In labor force: - Speak other Indo-European languages
HD01_VD33,Estimate; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages
HD02_VD33,Margin of Error; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages
HD01_VD34,Estimate; Some college or associate's degree: - In labor force: - Speak other languages
HD02_VD34,Margin of Error; Some college or associate's degree: - In labor force: - Speak other languages
HD01_VD35,Estimate; Some college or associate's degree: - Not in labor force:
HD02_VD35,Margin of Error; Some college or associate's degree: - Not in labor force:
HD01_VD36,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English
HD02_VD36,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English
HD01_VD37,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish
HD02_VD37,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish
HD01_VD38,Estimate; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages
HD02_VD38,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages
HD01_VD39,Estimate; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages
HD02_VD39,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages
HD01_VD40,Estimate; Some college or associate's degree: - Not in labor force: - Speak other languages
HD02_VD40,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other languages
HD01_VD41,Estimate; Bachelor's degree or higher:
HD02_VD41,Margin of Error; Bachelor's degree or higher:
HD01_VD42,Estimate; Bachelor's degree or higher: - In labor force:
HD02_VD42,Margin of Error; Bachelor's degree or higher: - In labor force:
HD01_VD43,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English
HD02_VD43,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English
HD01_VD44,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish
HD02_VD44,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish
HD01_VD45,Estimate; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages
HD02_VD45,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages
HD01_VD46,Estimate; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages
HD02_VD46,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages
HD01_VD47,Estimate; Bachelor's degree or higher: - In labor force: - Speak other languages
HD02_VD47,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other languages
HD01_VD48,Estimate; Bachelor's degree or higher: - Not in labor force:
HD02_VD48,Margin of Error; Bachelor's degree or higher: - Not in labor force:
HD01_VD49,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English
HD02_VD49,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English
HD01_VD50,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish
HD02_VD50,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish
HD01_VD51,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages
HD02_VD51,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages
HD01_VD52,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages
HD02_VD52,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages
HD01_VD53,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other languages
HD02_VD53,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other languages
