GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - Speak only English,Margin of Error; Less than high school graduate: - In labor force: - Speak only English,Estimate; Less than high school graduate: - In labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish,Estimate; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - In labor force: - Speak other languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other languages,Estimate; Less than high school graduate: - Not in labor force:,Margin of Error; Less than high school graduate: - Not in labor force:,Estimate; Less than high school graduate: - Not in labor force: - Speak only English,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish,Estimate; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - Not in labor force: - Speak other languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other languages,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other languages,Estimate; High school graduate (includes equivalency): - Not in labor force:,Margin of Error; High school graduate (includes equivalency): - Not in labor force:,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - Speak only English,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish,Estimate; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - In labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other languages,Estimate; Some college or associate's degree: - Not in labor force:,Margin of Error; Some college or associate's degree: - Not in labor force:,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish,Estimate; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other languages,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other languages,Estimate; Bachelor's degree or higher: - Not in labor force:,Margin of Error; Bachelor's degree or higher: - Not in labor force:,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other languages
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",13324,258,886,218,479,159,153,75,139,89,140,100,47,41,0,19,407,152,332,138,19,36,56,41,0,19,0,19,3428,357,2330,294,1956,267,149,71,151,83,74,72,0,19,1098,184,1007,185,30,50,43,31,18,32,0,19,3305,363,2607,357,2283,338,146,92,160,59,10,24,8,13,698,133,626,123,30,51,33,30,0,19,9,14,5705,458,4645,408,4154,402,108,70,248,89,135,77,0,19,1060,186,731,114,101,89,109,95,86,69,33,40
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",93410,1006,22812,1106,12370,822,3076,453,7367,669,1386,310,531,185,10,17,10442,700,3893,405,4919,452,1344,317,220,87,66,59,30268,1069,21345,949,10439,736,7855,648,2483,446,340,117,228,117,8923,586,5461,408,2170,302,1032,339,144,90,116,72,24355,1001,19647,945,11506,838,5145,464,2403,368,383,196,210,100,4708,441,2844,322,1056,201,482,170,54,51,272,142,15975,954,12623,812,7752,609,2205,373,1684,334,573,159,409,184,3352,414,1893,289,480,130,338,126,497,195,144,79
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",11477,400,416,155,101,58,66,48,0,19,22,26,13,19,0,19,315,138,253,109,2,5,19,22,41,59,0,19,2496,353,1530,324,1351,285,54,66,125,94,0,19,0,19,966,200,854,186,0,19,87,47,25,35,0,19,3061,384,2262,320,1985,336,93,89,129,92,25,27,30,36,799,161,676,152,2,4,66,55,49,48,6,9,5504,440,4313,377,3664,361,77,49,257,106,315,143,0,19,1191,219,1023,223,54,45,71,45,43,42,0,19
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",57395,786,10022,795,6488,760,913,216,3966,710,1149,316,454,208,6,9,3534,484,982,244,1364,324,982,248,155,85,51,47,17330,995,11739,907,5506,668,3696,574,2148,431,326,168,63,53,5591,474,3815,406,841,235,866,231,40,34,29,28,12692,688,9836,638,6026,618,1967,333,1229,250,434,170,180,137,2856,369,2191,330,272,139,267,99,100,73,26,33,17351,914,13862,785,9753,714,1325,254,1820,354,698,199,266,168,3489,381,2507,304,234,138,502,179,211,108,35,36
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",12744,250,197,60,114,58,89,51,13,20,0,22,12,18,0,22,83,44,63,36,0,22,20,26,0,22,0,22,1057,195,477,132,394,124,32,47,51,45,0,22,0,22,580,134,466,126,35,40,79,49,0,22,0,22,1287,208,641,134,610,133,8,9,12,15,11,18,0,22,646,133,481,121,58,47,77,41,23,29,7,13,10203,341,7175,340,6281,382,234,104,432,152,221,89,7,11,3028,241,2687,221,95,59,187,73,42,33,17,14
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",5264,182,295,113,98,67,41,38,35,40,22,25,0,17,0,17,197,80,85,51,0,17,79,73,0,17,33,33,799,198,338,133,230,76,87,96,21,24,0,17,0,17,461,108,341,96,35,37,85,57,0,17,0,17,1130,187,757,155,630,140,6,10,60,42,16,22,45,46,373,102,326,106,0,17,32,30,0,17,15,23,3040,216,2304,200,1899,191,53,42,279,136,30,33,43,34,736,166,684,164,7,12,40,27,5,8,0,17
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",38656,542,1803,255,499,132,197,81,29,31,152,64,89,60,32,31,1304,190,828,147,83,48,258,94,54,43,81,47,6006,439,3115,296,2228,258,241,108,396,152,118,78,132,89,2891,319,2456,289,53,28,300,131,60,46,22,20,6798,457,4631,393,3709,333,296,107,463,197,76,36,87,51,2167,243,1820,224,59,37,178,76,17,16,93,47,24049,728,18496,615,16167,620,558,103,1149,205,434,158,188,102,5553,363,4770,325,179,84,364,104,194,96,46,39
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",42406,558,2003,294,906,196,375,125,290,113,204,87,37,39,0,28,1097,187,511,134,215,105,308,98,55,48,8,13,6565,590,3626,470,2141,345,800,238,581,224,70,43,34,42,2939,330,2156,270,279,119,457,163,30,28,17,19,6346,481,4022,374,2658,282,598,162,553,180,200,122,13,17,2324,333,1705,254,145,77,277,122,180,80,17,18,27492,765,18973,626,14008,615,1579,248,2053,297,1200,259,133,90,8519,438,6576,398,431,110,921,201,543,113,48,40
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",13405,370,751,192,311,126,234,114,0,19,0,19,55,50,22,48,440,123,295,106,2,5,120,80,23,37,0,19,2801,389,1670,315,1443,290,32,38,195,112,0,19,0,19,1131,219,865,223,24,34,242,144,0,19,0,19,3180,411,2189,308,2003,302,109,80,72,59,0,19,5,11,991,199,934,203,17,34,29,34,11,18,0,19,6673,582,5429,478,4772,515,94,76,433,213,118,75,12,19,1244,246,1009,226,0,19,187,131,48,45,0,19
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",12657,293,351,129,51,48,11,17,0,22,36,38,0,22,4,9,300,123,147,72,0,22,153,102,0,22,0,22,1061,273,323,135,216,89,30,25,15,18,9,14,53,86,738,222,571,218,44,40,123,71,0,22,0,22,1610,292,811,231,703,204,56,77,41,39,11,16,0,22,799,178,716,168,13,20,52,54,17,27,1,2,9635,428,6211,389,5433,346,115,55,433,210,184,107,46,48,3424,315,2937,299,127,77,248,96,111,93,1,2
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",9470,241,443,115,159,103,69,52,31,34,17,21,42,73,0,19,284,79,199,69,0,19,64,46,12,18,9,14,2179,295,1355,242,1140,213,187,124,28,22,0,19,0,19,824,144,790,144,8,12,26,23,0,19,0,19,2465,301,1786,258,1543,212,140,116,75,50,20,23,8,14,679,136,634,135,14,18,11,19,0,19,20,25,4383,335,3395,302,3155,301,69,44,151,74,0,19,20,22,988,151,933,145,22,23,33,30,0,19,0,19
