GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Less than high school graduate:,Margin of Error; Less than high school graduate:,Estimate; Less than high school graduate: - In labor force:,Margin of Error; Less than high school graduate: - In labor force:,Estimate; Less than high school graduate: - In labor force: - Speak only English,Margin of Error; Less than high school graduate: - In labor force: - Speak only English,Estimate; Less than high school graduate: - In labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - In labor force: - Speak Spanish,Estimate; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - In labor force: - Speak other languages,Margin of Error; Less than high school graduate: - In labor force: - Speak other languages,Estimate; Less than high school graduate: - Not in labor force:,Margin of Error; Less than high school graduate: - Not in labor force:,Estimate; Less than high school graduate: - Not in labor force: - Speak only English,Margin of Error; Less than high school graduate: - Not in labor force: - Speak only English,Estimate; Less than high school graduate: - Not in labor force: - Speak Spanish,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Spanish,Estimate; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other Indo-European languages,Estimate; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Less than high school graduate: - Not in labor force: - Speak other languages,Margin of Error; Less than high school graduate: - Not in labor force: - Speak other languages,Estimate; High school graduate (includes equivalency):,Margin of Error; High school graduate (includes equivalency):,Estimate; High school graduate (includes equivalency): - In labor force:,Margin of Error; High school graduate (includes equivalency): - In labor force:,Estimate; High school graduate (includes equivalency): - In labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - In labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - In labor force: - Speak other languages,Estimate; High school graduate (includes equivalency): - Not in labor force:,Margin of Error; High school graduate (includes equivalency): - Not in labor force:,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak only English,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Spanish,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other Indo-European languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Margin of Error; High school graduate (includes equivalency): - Not in labor force: - Speak other languages,Estimate; Some college or associate's degree:,Margin of Error; Some college or associate's degree:,Estimate; Some college or associate's degree: - In labor force:,Margin of Error; Some college or associate's degree: - In labor force:,Estimate; Some college or associate's degree: - In labor force: - Speak only English,Margin of Error; Some college or associate's degree: - In labor force: - Speak only English,Estimate; Some college or associate's degree: - In labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - In labor force: - Speak Spanish,Estimate; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - In labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - In labor force: - Speak other languages,Estimate; Some college or associate's degree: - Not in labor force:,Margin of Error; Some college or associate's degree: - Not in labor force:,Estimate; Some college or associate's degree: - Not in labor force: - Speak only English,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak only English,Estimate; Some college or associate's degree: - Not in labor force: - Speak Spanish,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Spanish,Estimate; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other Indo-European languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Some college or associate's degree: - Not in labor force: - Speak other languages,Margin of Error; Some college or associate's degree: - Not in labor force: - Speak other languages,Estimate; Bachelor's degree or higher:,Margin of Error; Bachelor's degree or higher:,Estimate; Bachelor's degree or higher: - In labor force:,Margin of Error; Bachelor's degree or higher: - In labor force:,Estimate; Bachelor's degree or higher: - In labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak only English,Estimate; Bachelor's degree or higher: - In labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - In labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - In labor force: - Speak other languages,Estimate; Bachelor's degree or higher: - Not in labor force:,Margin of Error; Bachelor's degree or higher: - Not in labor force:,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak only English,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak only English,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Spanish,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other Indo-European languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak Asian and Pacific Island languages,Estimate; Bachelor's degree or higher: - Not in labor force: - Speak other languages,Margin of Error; Bachelor's degree or higher: - Not in labor force: - Speak other languages
0400000US01,01,Alabama,3239351,1184,509891,5509,184384,3788,153302,3450,26814,1331,1254,294,2435,417,579,223,325507,4094,310956,4072,10817,740,1265,218,1789,230,680,271,1005295,7327,539963,6033,515645,5875,17509,1312,2220,364,4031,554,558,164,465332,4156,453611,3974,6897,821,2472,310,1892,353,460,196,962515,6426,627193,5033,607036,4984,11093,868,4330,474,3414,498,1320,226,335322,3546,324783,3322,5223,450,2907,390,1699,296,710,280,761650,6579,556566,5685,523451,5393,11207,894,9886,725,9423,802,2599,431,205084,2798,193095,2724,3607,490,4306,473,3226,415,850,214
0400000US02,02,Alaska,464440,368,36493,1261,16923,835,9918,574,1809,308,713,207,2835,407,1648,168,19570,746,11663,630,687,161,613,171,2465,387,4142,261,129324,2117,87041,1827,70446,1754,2823,339,1214,222,6788,538,5770,391,42283,1304,34990,1225,1046,252,879,189,1783,253,3585,235,168702,2243,124851,2072,108187,2045,4292,438,1939,317,6312,504,4121,274,43851,1348,38488,1175,1430,281,899,213,1108,224,1926,222,129921,2127,103155,1883,90787,1871,3055,387,3295,404,4474,398,1544,262,26766,978,24005,982,725,208,817,183,842,162,377,101
0400000US04,04,Arizona,4361304,754,609245,5200,287973,4556,92305,2687,177841,3400,2585,463,7599,672,7643,515,321272,3598,144844,2430,143089,2675,6936,644,6871,486,19532,789,1063765,7222,572497,5827,397898,4711,139222,2908,8609,769,8670,735,18098,703,491268,4478,387885,4129,72091,2000,8867,703,6192,583,16233,722,1489284,8425,940486,7262,747669,6466,140086,3024,16269,1134,14055,832,22407,791,548798,4901,467400,4419,51867,1730,12302,836,6195,509,11034,677,1199010,8330,819312,6937,674704,5556,68658,2096,32869,1485,31164,1218,11917,964,379698,4458,327637,4105,22079,1231,14421,1018,11640,845,3921,427
0400000US05,05,Arkansas,1962741,1041,299099,3988,117159,2692,85448,2223,28349,1180,796,197,2320,509,246,198,181940,2511,166643,2403,12104,882,1289,254,1547,233,357,147,685277,4673,374698,3917,353828,3730,15486,1218,1495,265,3448,513,441,139,310579,3136,302082,3119,5585,537,1303,240,1418,284,191,102,564266,4012,364156,3391,348861,3276,9933,792,1912,308,2929,449,521,154,200110,2571,193412,2480,3578,405,1474,256,1294,257,352,131,414099,4420,302179,4036,283591,3842,6885,652,5448,523,5440,557,815,195,111920,2045,104982,2010,2124,392,2266,319,1988,362,560,200
0400000US06,06,California,25257858,969,4599641,17587,2440364,12907,394281,4985,1821292,12002,40582,1467,171283,3141,12926,882,2159277,11166,627039,5382,1142847,8530,99323,2416,266351,3521,23717,1187,5231824,23694,3161154,18689,1619473,10857,1156952,8996,103060,2749,254962,4411,26707,1476,2070670,10943,1332872,8301,429294,4969,99978,2441,188939,3042,19587,1148,7487209,16728,5034979,14973,3297669,13835,1072411,7550,183322,3010,438261,4759,43316,1695,2452230,10512,1817453,9291,310396,4412,99292,2243,204329,3189,20760,1064,7939184,30774,5939184,25680,3873565,22391,575210,7232,472688,5905,939477,6519,78244,2592,2000000,10598,1349017,8162,125823,2305,168129,3115,328629,3471,28402,1569
0400000US08,08,Colorado,3520177,958,327222,3955,175687,3091,71953,1934,92982,2780,2155,322,6108,587,2489,386,151535,2536,84005,1804,55415,1722,3901,521,6389,516,1825,288,767325,6788,471467,5288,384083,4272,67748,2272,6887,589,8626,779,4123,487,295858,3390,252825,2924,29494,1277,6578,557,5060,571,1901,271,1083623,6265,764197,4928,677978,4382,54687,1681,14719,983,10656,685,6157,527,319426,3289,286373,3229,19733,915,6883,525,4483,427,1954,341,1342007,7602,1026109,6972,920650,6695,39543,1385,35963,1734,23236,946,6717,903,315898,3393,282915,3135,11566,715,12095,789,7211,642,2111,389
0400000US09,09,Connecticut,2462855,421,249857,3316,109136,2240,46346,1721,44712,1619,12225,916,5104,570,749,191,140721,2322,79165,1569,35598,1108,22091,1233,2857,341,1010,221,673973,5798,418984,4790,317957,3786,60320,2069,32243,1482,5917,591,2547,435,254989,3343,210701,3056,19630,1089,21092,1068,2256,336,1310,231,613418,5025,449869,4568,362551,3827,48280,1834,29644,1389,5689,515,3705,455,163549,2460,138064,2272,10966,788,11026,678,2192,373,1301,250,925607,6645,715388,6317,591226,5795,35024,1461,55058,1821,27269,1121,6811,618,210219,2684,174577,2301,7097,555,17521,991,9027,602,1997,342
0400000US10,10,Delaware,631118,196,73373,1814,32256,1348,20676,1155,9800,711,843,210,785,221,152,118,41117,1226,34035,1039,4215,439,1807,388,807,242,253,109,196236,2631,115028,2208,104289,2131,7328,637,2010,344,938,222,463,143,81208,1543,76210,1500,2474,321,1617,268,678,174,229,106,172147,2454,118940,2090,108146,2060,5661,510,2653,353,1220,243,1260,277,53207,1444,49237,1351,1673,308,1378,214,605,136,314,163,189362,2900,141078,2518,119234,2392,5059,527,8048,728,6467,533,2270,386,48284,1334,41140,1170,1348,308,2894,473,2426,353,476,149
0400000US11,11,District of Columbia,453952,79,48430,1475,22353,1196,12978,949,7673,806,344,122,726,201,632,162,26077,1044,22634,1010,2101,418,358,126,541,161,443,142,81697,1799,46805,1526,39216,1347,4252,480,739,180,548,161,2050,528,34892,1103,32280,1044,1448,299,525,155,224,105,415,138,76073,1844,51492,1650,43047,1423,4341,531,1931,390,559,137,1614,339,24581,1023,22269,969,1030,201,611,144,202,79,469,195,247752,2142,208955,2160,173093,2190,12873,842,13727,925,5070,446,4192,551,38797,1186,31244,1090,2811,466,3041,359,1021,261,680,162
