Town,Population,Households,Poverty percent,ALICE percent,Above Alice threshold,Unemployment rate,Health insurance coverage,Housing burden: Percent owner over,Housing burden: Percent renter over
Andover,3181,1145,2%,22%,76%,5.6%,95.7%,22%,56%
Ansonia,19128,7240,20%,38%,42%,13.1%,90.2%,45%,61%
Ashford,4297,1707,6%,23%,71%,7.5%,94.6%,37%,55%
Avon,18298,7207,5%,15%,80%,6.5%,97.6%,27%,39%
Barkhamsted,3749,1475,3%,18%,79%,8.5%,96.4%,28%,31%
Beacon Falls,6065,2334,2%,29%,69%,7.4%,95.3%,25%,32%
Berlin,20352,7822,4%,23%,73%,6.9%,96.2%,28%,62%
Bethany,5546,2034,6%,15%,79%,7.8%,96.8%,34%,43%
Bethel,19078,7071,5%,25%,70%,9.5%,93.8%,35%,44%
Bethlehem,3551,1353,7%,18%,75%,6.3%,94.8%,41%,27%
Bloomfield,20626,8417,7%,24%,69%,12.1%,93.2%,33%,44%
Bolton,4963,1985,3%,21%,76%,5.6%,94.0%,32%,38%
Bozrah,2631,1049,3%,20%,77%,7.6%,95.9%,27%,46%
Branford,28066,12410,8%,29%,63%,10.5%,92.8%,35%,45%
Bridgeport,146680,50034,23%,40%,37%,16.6%,79.7%,48%,58%
Bridgewater,1747,765,3%,17%,80%,5.8%,97.0%,37%,23%
Bristol,60556,25194,10%,35%,55%,10.6%,91.7%,33%,44%
Brookfield,16774,6010,3%,20%,77%,5.3%,94.5%,35%,47%
Brooklyn,8240,2918,12%,22%,66%,9.4%,95.4%,31%,51%
Burlington,9443,3381,4%,18%,78%,5.5%,95.1%,31%,62%
Canaan,1240,575,7%,29%,64%,6.5%,90.4%,35%,47%
Canterbury,5110,1931,5%,18%,77%,10.1%,87.4%,29%,46%
Canton,10334,4023,4%,26%,70%,6.1%,96.2%,28%,40%
Chaplin,2256,865,6%,21%,73%,10.1%,91.6%,23%,27%
Cheshire,29272,9799,3%,17%,80%,4.4%,94.3%,25%,31%
Chester,4223,1853,4%,26%,70%,7.4%,90.4%,29%,38%
Clinton,13188,5313,8%,21%,71%,7.3%,89.9%,41%,47%
Colchester,16143,5785,4%,15%,81%,5.4%,95.8%,26%,27%
Colebrook,1594,615,4%,25%,71%,7.8%,92.1%,33%,22%
